Year,Electoral college vote count,State
1788,0,Alabama
1792,0,Alabama
1796,0,Alabama
1800,0,Alabama
1804,0,Alabama
1808,0,Alabama
1812,0,Alabama
1816,0,Alabama
1820,3,Alabama
1824,5,Alabama
1828,5,Alabama
1832,7,Alabama
1836,7,Alabama
1840,7,Alabama
1844,9,Alabama
1848,9,Alabama
1852,9,Alabama
1856,9,Alabama
1860,9,Alabama
1864,0,Alabama
1868,8,Alabama
1872,10,Alabama
1876,10,Alabama
1880,10,Alabama
1884,10,Alabama
1888,10,Alabama
1892,11,Alabama
1896,11,Alabama
1900,11,Alabama
1904,11,Alabama
1908,11,Alabama
1912,12,Alabama
1916,12,Alabama
1920,12,Alabama
1924,12,Alabama
1928,12,Alabama
1932,11,Alabama
1936,11,Alabama
1940,11,Alabama
1944,11,Alabama
1948,11,Alabama
1952,11,Alabama
1956,11,Alabama
1960,11,Alabama
1964,10,Alabama
1968,10,Alabama
1972,9,Alabama
1976,9,Alabama
1980,9,Alabama
1984,9,Alabama
1988,9,Alabama
1992,9,Alabama
1996,9,Alabama
2000,9,Alabama
2004,9,Alabama
2008,9,Alabama
2012,9,Alabama
2016,9,Alabama
2020,9,Alabama
1788,0,Alaska
1792,0,Alaska
1796,0,Alaska
1800,0,Alaska
1804,0,Alaska
1808,0,Alaska
1812,0,Alaska
1816,0,Alaska
1820,0,Alaska
1824,0,Alaska
1828,0,Alaska
1832,0,Alaska
1836,0,Alaska
1840,0,Alaska
1844,0,Alaska
1848,0,Alaska
1852,0,Alaska
1856,0,Alaska
1860,0,Alaska
1864,0,Alaska
1868,0,Alaska
1872,0,Alaska
1876,0,Alaska
1880,0,Alaska
1884,0,Alaska
1888,0,Alaska
1892,0,Alaska
1896,0,Alaska
1900,0,Alaska
1904,0,Alaska
1908,0,Alaska
1912,0,Alaska
1916,0,Alaska
1920,0,Alaska
1924,0,Alaska
1928,0,Alaska
1932,0,Alaska
1936,0,Alaska
1940,0,Alaska
1944,0,Alaska
1948,0,Alaska
1952,0,Alaska
1956,0,Alaska
1960,3,Alaska
1964,3,Alaska
1968,3,Alaska
1972,3,Alaska
1976,3,Alaska
1980,3,Alaska
1984,3,Alaska
1988,3,Alaska
1992,3,Alaska
1996,3,Alaska
2000,3,Alaska
2004,3,Alaska
2008,3,Alaska
2012,3,Alaska
2016,3,Alaska
2020,3,Alaska
1788,0,Arizona
1792,0,Arizona
1796,0,Arizona
1800,0,Arizona
1804,0,Arizona
1808,0,Arizona
1812,0,Arizona
1816,0,Arizona
1820,0,Arizona
1824,0,Arizona
1828,0,Arizona
1832,0,Arizona
1836,0,Arizona
1840,0,Arizona
1844,0,Arizona
1848,0,Arizona
1852,0,Arizona
1856,0,Arizona
1860,0,Arizona
1864,0,Arizona
1868,0,Arizona
1872,0,Arizona
1876,0,Arizona
1880,0,Arizona
1884,0,Arizona
1888,0,Arizona
1892,0,Arizona
1896,0,Arizona
1900,0,Arizona
1904,0,Arizona
1908,0,Arizona
1912,3,Arizona
1916,3,Arizona
1920,3,Arizona
1924,3,Arizona
1928,3,Arizona
1932,3,Arizona
1936,3,Arizona
1940,3,Arizona
1944,4,Arizona
1948,4,Arizona
1952,4,Arizona
1956,4,Arizona
1960,4,Arizona
1964,5,Arizona
1968,5,Arizona
1972,6,Arizona
1976,6,Arizona
1980,6,Arizona
1984,7,Arizona
1988,7,Arizona
1992,8,Arizona
1996,8,Arizona
2000,8,Arizona
2004,10,Arizona
2008,10,Arizona
2012,11,Arizona
2016,11,Arizona
2020,11,Arizona
1788,0,Arkansas
1792,0,Arkansas
1796,0,Arkansas
1800,0,Arkansas
1804,0,Arkansas
1808,0,Arkansas
1812,0,Arkansas
1816,0,Arkansas
1820,0,Arkansas
1824,0,Arkansas
1828,0,Arkansas
1832,0,Arkansas
1836,3,Arkansas
1840,3,Arkansas
1844,3,Arkansas
1848,3,Arkansas
1852,4,Arkansas
1856,4,Arkansas
1860,4,Arkansas
1864,0,Arkansas
1868,5,Arkansas
1872,6,Arkansas
1876,6,Arkansas
1880,6,Arkansas
1884,7,Arkansas
1888,7,Arkansas
1892,8,Arkansas
1896,8,Arkansas
1900,8,Arkansas
1904,9,Arkansas
1908,9,Arkansas
1912,9,Arkansas
1916,9,Arkansas
1920,9,Arkansas
1924,9,Arkansas
1928,9,Arkansas
1932,9,Arkansas
1936,9,Arkansas
1940,9,Arkansas
1944,9,Arkansas
1948,9,Arkansas
1952,8,Arkansas
1956,8,Arkansas
1960,8,Arkansas
1964,6,Arkansas
1968,6,Arkansas
1972,6,Arkansas
1976,6,Arkansas
1980,6,Arkansas
1984,6,Arkansas
1988,6,Arkansas
1992,6,Arkansas
1996,6,Arkansas
2000,6,Arkansas
2004,6,Arkansas
2008,6,Arkansas
2012,6,Arkansas
2016,6,Arkansas
2020,6,Arkansas
1788,0,California
1792,0,California
1796,0,California
1800,0,California
1804,0,California
1808,0,California
1812,0,California
1816,0,California
1820,0,California
1824,0,California
1828,0,California
1832,0,California
1836,0,California
1840,0,California
1844,0,California
1848,0,California
1852,4,California
1856,4,California
1860,4,California
1864,5,California
1868,5,California
1872,6,California
1876,6,California
1880,6,California
1884,8,California
1888,8,California
1892,9,California
1896,9,California
1900,9,California
1904,10,California
1908,10,California
1912,13,California
1916,13,California
1920,13,California
1924,13,California
1928,13,California
1932,22,California
1936,22,California
1940,22,California
1944,25,California
1948,25,California
1952,32,California
1956,32,California
1960,32,California
1964,40,California
1968,40,California
1972,45,California
1976,45,California
1980,45,California
1984,47,California
1988,47,California
1992,54,California
1996,54,California
2000,54,California
2004,55,California
2008,55,California
2012,55,California
2016,55,California
2020,55,California
1788,0,Colorado
1792,0,Colorado
1796,0,Colorado
1800,0,Colorado
1804,0,Colorado
1808,0,Colorado
1812,0,Colorado
1816,0,Colorado
1820,0,Colorado
1824,0,Colorado
1828,0,Colorado
1832,0,Colorado
1836,0,Colorado
1840,0,Colorado
1844,0,Colorado
1848,0,Colorado
1852,0,Colorado
1856,0,Colorado
1860,0,Colorado
1864,0,Colorado
1868,0,Colorado
1872,0,Colorado
1876,3,Colorado
1880,3,Colorado
1884,3,Colorado
1888,3,Colorado
1892,4,Colorado
1896,4,Colorado
1900,4,Colorado
1904,5,Colorado
1908,5,Colorado
1912,6,Colorado
1916,6,Colorado
1920,6,Colorado
1924,6,Colorado
1928,6,Colorado
1932,6,Colorado
1936,6,Colorado
1940,6,Colorado
1944,6,Colorado
1948,6,Colorado
1952,6,Colorado
1956,6,Colorado
1960,6,Colorado
1964,6,Colorado
1968,6,Colorado
1972,7,Colorado
1976,7,Colorado
1980,7,Colorado
1984,8,Colorado
1988,8,Colorado
1992,8,Colorado
1996,8,Colorado
2000,8,Colorado
2004,9,Colorado
2008,9,Colorado
2012,9,Colorado
2016,9,Colorado
2020,9,Colorado
1788,7,Connecticut
1792,9,Connecticut
1796,9,Connecticut
1800,9,Connecticut
1804,9,Connecticut
1808,9,Connecticut
1812,9,Connecticut
1816,9,Connecticut
1820,9,Connecticut
1824,8,Connecticut
1828,8,Connecticut
1832,8,Connecticut
1836,8,Connecticut
1840,8,Connecticut
1844,6,Connecticut
1848,6,Connecticut
1852,6,Connecticut
1856,6,Connecticut
1860,6,Connecticut
1864,6,Connecticut
1868,6,Connecticut
1872,6,Connecticut
1876,6,Connecticut
1880,6,Connecticut
1884,6,Connecticut
1888,6,Connecticut
1892,6,Connecticut
1896,6,Connecticut
1900,6,Connecticut
1904,7,Connecticut
1908,7,Connecticut
1912,7,Connecticut
1916,7,Connecticut
1920,7,Connecticut
1924,7,Connecticut
1928,7,Connecticut
1932,8,Connecticut
1936,8,Connecticut
1940,8,Connecticut
1944,8,Connecticut
1948,8,Connecticut
1952,8,Connecticut
1956,8,Connecticut
1960,8,Connecticut
1964,8,Connecticut
1968,8,Connecticut
1972,8,Connecticut
1976,8,Connecticut
1980,8,Connecticut
1984,8,Connecticut
1988,8,Connecticut
1992,8,Connecticut
1996,8,Connecticut
2000,8,Connecticut
2004,7,Connecticut
2008,7,Connecticut
2012,7,Connecticut
2016,7,Connecticut
2020,7,Connecticut
1788,0,D.C.
1792,0,D.C.
1796,0,D.C.
1800,0,D.C.
1804,0,D.C.
1808,0,D.C.
1812,0,D.C.
1816,0,D.C.
1820,0,D.C.
1824,0,D.C.
1828,0,D.C.
1832,0,D.C.
1836,0,D.C.
1840,0,D.C.
1844,0,D.C.
1848,0,D.C.
1852,0,D.C.
1856,0,D.C.
1860,0,D.C.
1864,0,D.C.
1868,0,D.C.
1872,0,D.C.
1876,0,D.C.
1880,0,D.C.
1884,0,D.C.
1888,0,D.C.
1892,0,D.C.
1896,0,D.C.
1900,0,D.C.
1904,0,D.C.
1908,0,D.C.
1912,0,D.C.
1916,0,D.C.
1920,0,D.C.
1924,0,D.C.
1928,0,D.C.
1932,0,D.C.
1936,0,D.C.
1940,0,D.C.
1944,0,D.C.
1948,0,D.C.
1952,0,D.C.
1956,0,D.C.
1960,0,D.C.
1964,3,D.C.
1968,3,D.C.
1972,3,D.C.
1976,3,D.C.
1980,3,D.C.
1984,3,D.C.
1988,3,D.C.
1992,3,D.C.
1996,3,D.C.
2000,3,D.C.
2004,3,D.C.
2008,3,D.C.
2012,3,D.C.
2016,3,D.C.
2020,3,D.C.
1788,3,Delaware
1792,3,Delaware
1796,3,Delaware
1800,3,Delaware
1804,3,Delaware
1808,3,Delaware
1812,4,Delaware
1816,4,Delaware
1820,4,Delaware
1824,3,Delaware
1828,3,Delaware
1832,3,Delaware
1836,3,Delaware
1840,3,Delaware
1844,3,Delaware
1848,3,Delaware
1852,3,Delaware
1856,3,Delaware
1860,3,Delaware
1864,3,Delaware
1868,3,Delaware
1872,3,Delaware
1876,3,Delaware
1880,3,Delaware
1884,3,Delaware
1888,3,Delaware
1892,3,Delaware
1896,3,Delaware
1900,3,Delaware
1904,3,Delaware
1908,3,Delaware
1912,3,Delaware
1916,3,Delaware
1920,3,Delaware
1924,3,Delaware
1928,3,Delaware
1932,3,Delaware
1936,3,Delaware
1940,3,Delaware
1944,3,Delaware
1948,3,Delaware
1952,3,Delaware
1956,3,Delaware
1960,3,Delaware
1964,3,Delaware
1968,3,Delaware
1972,3,Delaware
1976,3,Delaware
1980,3,Delaware
1984,3,Delaware
1988,3,Delaware
1992,3,Delaware
1996,3,Delaware
2000,3,Delaware
2004,3,Delaware
2008,3,Delaware
2012,3,Delaware
2016,3,Delaware
2020,3,Delaware
1788,0,Florida
1792,0,Florida
1796,0,Florida
1800,0,Florida
1804,0,Florida
1808,0,Florida
1812,0,Florida
1816,0,Florida
1820,0,Florida
1824,0,Florida
1828,0,Florida
1832,0,Florida
1836,0,Florida
1840,0,Florida
1844,0,Florida
1848,3,Florida
1852,3,Florida
1856,3,Florida
1860,3,Florida
1864,0,Florida
1868,3,Florida
1872,4,Florida
1876,4,Florida
1880,4,Florida
1884,4,Florida
1888,4,Florida
1892,4,Florida
1896,4,Florida
1900,4,Florida
1904,5,Florida
1908,5,Florida
1912,6,Florida
1916,6,Florida
1920,6,Florida
1924,6,Florida
1928,6,Florida
1932,7,Florida
1936,7,Florida
1940,7,Florida
1944,8,Florida
1948,8,Florida
1952,10,Florida
1956,10,Florida
1960,10,Florida
1964,14,Florida
1968,14,Florida
1972,17,Florida
1976,17,Florida
1980,17,Florida
1984,21,Florida
1988,21,Florida
1992,25,Florida
1996,25,Florida
2000,25,Florida
2004,27,Florida
2008,27,Florida
2012,29,Florida
2016,29,Florida
2020,29,Florida
1788,5,Georgia
1792,4,Georgia
1796,4,Georgia
1800,4,Georgia
1804,6,Georgia
1808,6,Georgia
1812,8,Georgia
1816,8,Georgia
1820,8,Georgia
1824,9,Georgia
1828,9,Georgia
1832,11,Georgia
1836,11,Georgia
1840,11,Georgia
1844,10,Georgia
1848,10,Georgia
1852,10,Georgia
1856,10,Georgia
1860,10,Georgia
1864,0,Georgia
1868,9,Georgia
1872,11,Georgia
1876,11,Georgia
1880,11,Georgia
1884,12,Georgia
1888,12,Georgia
1892,13,Georgia
1896,13,Georgia
1900,13,Georgia
1904,13,Georgia
1908,13,Georgia
1912,14,Georgia
1916,14,Georgia
1920,14,Georgia
1924,14,Georgia
1928,14,Georgia
1932,12,Georgia
1936,12,Georgia
1940,12,Georgia
1944,12,Georgia
1948,12,Georgia
1952,12,Georgia
1956,12,Georgia
1960,12,Georgia
1964,12,Georgia
1968,12,Georgia
1972,12,Georgia
1976,12,Georgia
1980,12,Georgia
1984,12,Georgia
1988,12,Georgia
1992,13,Georgia
1996,13,Georgia
2000,13,Georgia
2004,15,Georgia
2008,15,Georgia
2012,16,Georgia
2016,16,Georgia
2020,16,Georgia
1788,0,Hawaii
1792,0,Hawaii
1796,0,Hawaii
1800,0,Hawaii
1804,0,Hawaii
1808,0,Hawaii
1812,0,Hawaii
1816,0,Hawaii
1820,0,Hawaii
1824,0,Hawaii
1828,0,Hawaii
1832,0,Hawaii
1836,0,Hawaii
1840,0,Hawaii
1844,0,Hawaii
1848,0,Hawaii
1852,0,Hawaii
1856,0,Hawaii
1860,0,Hawaii
1864,0,Hawaii
1868,0,Hawaii
1872,0,Hawaii
1876,0,Hawaii
1880,0,Hawaii
1884,0,Hawaii
1888,0,Hawaii
1892,0,Hawaii
1896,0,Hawaii
1900,0,Hawaii
1904,0,Hawaii
1908,0,Hawaii
1912,0,Hawaii
1916,0,Hawaii
1920,0,Hawaii
1924,0,Hawaii
1928,0,Hawaii
1932,0,Hawaii
1936,0,Hawaii
1940,0,Hawaii
1944,0,Hawaii
1948,0,Hawaii
1952,0,Hawaii
1956,0,Hawaii
1960,3,Hawaii
1964,4,Hawaii
1968,4,Hawaii
1972,4,Hawaii
1976,4,Hawaii
1980,4,Hawaii
1984,4,Hawaii
1988,4,Hawaii
1992,4,Hawaii
1996,4,Hawaii
2000,4,Hawaii
2004,4,Hawaii
2008,4,Hawaii
2012,4,Hawaii
2016,4,Hawaii
2020,4,Hawaii
1788,0,Idaho
1792,0,Idaho
1796,0,Idaho
1800,0,Idaho
1804,0,Idaho
1808,0,Idaho
1812,0,Idaho
1816,0,Idaho
1820,0,Idaho
1824,0,Idaho
1828,0,Idaho
1832,0,Idaho
1836,0,Idaho
1840,0,Idaho
1844,0,Idaho
1848,0,Idaho
1852,0,Idaho
1856,0,Idaho
1860,0,Idaho
1864,0,Idaho
1868,0,Idaho
1872,0,Idaho
1876,0,Idaho
1880,0,Idaho
1884,0,Idaho
1888,0,Idaho
1892,3,Idaho
1896,3,Idaho
1900,3,Idaho
1904,3,Idaho
1908,3,Idaho
1912,4,Idaho
1916,4,Idaho
1920,4,Idaho
1924,4,Idaho
1928,4,Idaho
1932,4,Idaho
1936,4,Idaho
1940,4,Idaho
1944,4,Idaho
1948,4,Idaho
1952,4,Idaho
1956,4,Idaho
1960,4,Idaho
1964,4,Idaho
1968,4,Idaho
1972,4,Idaho
1976,4,Idaho
1980,4,Idaho
1984,4,Idaho
1988,4,Idaho
1992,4,Idaho
1996,4,Idaho
2000,4,Idaho
2004,4,Idaho
2008,4,Idaho
2012,4,Idaho
2016,4,Idaho
2020,4,Idaho
1788,0,Illinois
1792,0,Illinois
1796,0,Illinois
1800,0,Illinois
1804,0,Illinois
1808,0,Illinois
1812,0,Illinois
1816,0,Illinois
1820,3,Illinois
1824,3,Illinois
1828,3,Illinois
1832,5,Illinois
1836,5,Illinois
1840,5,Illinois
1844,9,Illinois
1848,9,Illinois
1852,11,Illinois
1856,11,Illinois
1860,11,Illinois
1864,16,Illinois
1868,16,Illinois
1872,21,Illinois
1876,21,Illinois
1880,21,Illinois
1884,22,Illinois
1888,22,Illinois
1892,24,Illinois
1896,24,Illinois
1900,24,Illinois
1904,27,Illinois
1908,27,Illinois
1912,29,Illinois
1916,29,Illinois
1920,29,Illinois
1924,29,Illinois
1928,29,Illinois
1932,29,Illinois
1936,29,Illinois
1940,29,Illinois
1944,28,Illinois
1948,28,Illinois
1952,27,Illinois
1956,27,Illinois
1960,27,Illinois
1964,26,Illinois
1968,26,Illinois
1972,26,Illinois
1976,26,Illinois
1980,26,Illinois
1984,24,Illinois
1988,24,Illinois
1992,22,Illinois
1996,22,Illinois
2000,22,Illinois
2004,21,Illinois
2008,21,Illinois
2012,20,Illinois
2016,20,Illinois
2020,20,Illinois
1788,0,Indiana
1792,0,Indiana
1796,0,Indiana
1800,0,Indiana
1804,0,Indiana
1808,0,Indiana
1812,0,Indiana
1816,3,Indiana
1820,3,Indiana
1824,5,Indiana
1828,5,Indiana
1832,9,Indiana
1836,9,Indiana
1840,9,Indiana
1844,12,Indiana
1848,12,Indiana
1852,13,Indiana
1856,13,Indiana
1860,13,Indiana
1864,13,Indiana
1868,13,Indiana
1872,15,Indiana
1876,15,Indiana
1880,15,Indiana
1884,15,Indiana
1888,15,Indiana
1892,15,Indiana
1896,15,Indiana
1900,15,Indiana
1904,15,Indiana
1908,15,Indiana
1912,15,Indiana
1916,15,Indiana
1920,15,Indiana
1924,15,Indiana
1928,15,Indiana
1932,14,Indiana
1936,14,Indiana
1940,14,Indiana
1944,13,Indiana
1948,13,Indiana
1952,13,Indiana
1956,13,Indiana
1960,13,Indiana
1964,13,Indiana
1968,13,Indiana
1972,13,Indiana
1976,13,Indiana
1980,13,Indiana
1984,12,Indiana
1988,12,Indiana
1992,12,Indiana
1996,12,Indiana
2000,12,Indiana
2004,11,Indiana
2008,11,Indiana
2012,11,Indiana
2016,11,Indiana
2020,11,Indiana
1788,0,Iowa
1792,0,Iowa
1796,0,Iowa
1800,0,Iowa
1804,0,Iowa
1808,0,Iowa
1812,0,Iowa
1816,0,Iowa
1820,0,Iowa
1824,0,Iowa
1828,0,Iowa
1832,0,Iowa
1836,0,Iowa
1840,0,Iowa
1844,0,Iowa
1848,4,Iowa
1852,4,Iowa
1856,4,Iowa
1860,4,Iowa
1864,8,Iowa
1868,8,Iowa
1872,11,Iowa
1876,11,Iowa
1880,11,Iowa
1884,13,Iowa
1888,13,Iowa
1892,13,Iowa
1896,13,Iowa
1900,13,Iowa
1904,13,Iowa
1908,13,Iowa
1912,13,Iowa
1916,13,Iowa
1920,13,Iowa
1924,13,Iowa
1928,13,Iowa
1932,11,Iowa
1936,11,Iowa
1940,11,Iowa
1944,10,Iowa
1948,10,Iowa
1952,10,Iowa
1956,10,Iowa
1960,10,Iowa
1964,9,Iowa
1968,9,Iowa
1972,8,Iowa
1976,8,Iowa
1980,8,Iowa
1984,8,Iowa
1988,8,Iowa
1992,7,Iowa
1996,7,Iowa
2000,7,Iowa
2004,7,Iowa
2008,7,Iowa
2012,6,Iowa
2016,6,Iowa
2020,6,Iowa
1788,0,Kansas
1792,0,Kansas
1796,0,Kansas
1800,0,Kansas
1804,0,Kansas
1808,0,Kansas
1812,0,Kansas
1816,0,Kansas
1820,0,Kansas
1824,0,Kansas
1828,0,Kansas
1832,0,Kansas
1836,0,Kansas
1840,0,Kansas
1844,0,Kansas
1848,0,Kansas
1852,0,Kansas
1856,0,Kansas
1860,0,Kansas
1864,3,Kansas
1868,3,Kansas
1872,5,Kansas
1876,5,Kansas
1880,5,Kansas
1884,9,Kansas
1888,9,Kansas
1892,10,Kansas
1896,10,Kansas
1900,10,Kansas
1904,10,Kansas
1908,10,Kansas
1912,10,Kansas
1916,10,Kansas
1920,10,Kansas
1924,10,Kansas
1928,10,Kansas
1932,9,Kansas
1936,9,Kansas
1940,9,Kansas
1944,8,Kansas
1948,8,Kansas
1952,8,Kansas
1956,8,Kansas
1960,8,Kansas
1964,7,Kansas
1968,7,Kansas
1972,7,Kansas
1976,7,Kansas
1980,7,Kansas
1984,7,Kansas
1988,7,Kansas
1992,6,Kansas
1996,6,Kansas
2000,6,Kansas
2004,6,Kansas
2008,6,Kansas
2012,6,Kansas
2016,6,Kansas
2020,6,Kansas
1788,0,Kentucky
1792,4,Kentucky
1796,4,Kentucky
1800,4,Kentucky
1804,8,Kentucky
1808,8,Kentucky
1812,12,Kentucky
1816,12,Kentucky
1820,12,Kentucky
1824,14,Kentucky
1828,14,Kentucky
1832,15,Kentucky
1836,15,Kentucky
1840,15,Kentucky
1844,12,Kentucky
1848,12,Kentucky
1852,12,Kentucky
1856,12,Kentucky
1860,12,Kentucky
1864,11,Kentucky
1868,11,Kentucky
1872,12,Kentucky
1876,12,Kentucky
1880,12,Kentucky
1884,13,Kentucky
1888,13,Kentucky
1892,13,Kentucky
1896,13,Kentucky
1900,13,Kentucky
1904,13,Kentucky
1908,13,Kentucky
1912,13,Kentucky
1916,13,Kentucky
1920,13,Kentucky
1924,13,Kentucky
1928,13,Kentucky
1932,11,Kentucky
1936,11,Kentucky
1940,11,Kentucky
1944,11,Kentucky
1948,11,Kentucky
1952,10,Kentucky
1956,10,Kentucky
1960,10,Kentucky
1964,9,Kentucky
1968,9,Kentucky
1972,9,Kentucky
1976,9,Kentucky
1980,9,Kentucky
1984,9,Kentucky
1988,9,Kentucky
1992,8,Kentucky
1996,8,Kentucky
2000,8,Kentucky
2004,8,Kentucky
2008,8,Kentucky
2012,8,Kentucky
2016,8,Kentucky
2020,8,Kentucky
1788,0,Louisiana
1792,0,Louisiana
1796,0,Louisiana
1800,0,Louisiana
1804,0,Louisiana
1808,0,Louisiana
1812,3,Louisiana
1816,3,Louisiana
1820,3,Louisiana
1824,5,Louisiana
1828,5,Louisiana
1832,5,Louisiana
1836,5,Louisiana
1840,5,Louisiana
1844,6,Louisiana
1848,6,Louisiana
1852,6,Louisiana
1856,6,Louisiana
1860,6,Louisiana
1864,0,Louisiana
1868,7,Louisiana
1872,8,Louisiana
1876,8,Louisiana
1880,8,Louisiana
1884,8,Louisiana
